"18";"Except when taking off or landing, or under certain other defined circumstances, an aircraft may not fly closer than a), b), or to any person, vessel, vehicle or structure?";"500 feet";"1000 feet.";"800 feet.";"1500 feet. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 4 / 24 PPL (A) – Aviation law";"a";"Air law";""
"19";"Two aircraft flying according to the Visual Flight Rules, one of which is receiving a Radar Information Service (RIS), are closing at an apparent constant relative bearing. There is, thus, a high risk of collision. The fact that one aircraft is receiving an RIS is immaterial to the situation. The Rules of the Air apply. Therefore, the aircraft which has the other on its left has right of way and should maintain:";"Course and speed.";"Height and speed.";"Altitude and course.";"Altitude and speed.";"a";"Air law";""
"20";"While flying at night, as the pilot in command, you see an anti-collision light and a steady red light at the same altitude, at a constant relative bearing of 050 degrees, there a risk of collision? And who has right of way?";"Yes. The other aircraft does.";"Yes. You do.";"No. The other aircraft does.";"No. You do.";"a";"Air law";""
"21";"If a PPL holder who has no additional ratings, while receiving a Radar Advisory Service, receives instructions to change heading, climb or descend, such that if the instructions are complied with the pilot will be unable to maintain Visual Meteorological Conditions, the pilot should:";"Continue on the present heading, at the present altitude, and tell air traffic why he cannot comply.";"Comply with instructions, anyway, but go onto instruments early.";"Continue on present heading and at present altitude, say nothing, and wait for the controller's next instruction.";"Comply as closely as he can with the controller's instructions but on no account go into Instrument Meteorological Conditions.";"a";"Air law";""
"22";"A Control Area (CTA) established at the confluence of ATS routes in the vicinity of one or more major aerodromes is known as:";"A Terminal Control Area (TMA).";"An Airway.";"A Control Zone (CTR).";"An Aerodrome Traffic Zone (ATZ).";"a";"Air law";""
"23";"What is the international Aeronautical VHF Distress Frequency?";"121.50 MHz";"123.45 MHz";"243.00 MHz";"406.00 MHz";"a";"Air law";""
"24";"How often are Aeronautical Information Circulars published?";"Monthly";"Weekly";"Yearly.";"Quarterly. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 5 / 24 PPL (A) – Aviation law";"a";"Air law";""
"25";"If a PPL holder receives a Special VFR clearance to enter a control zone (CTR) but, before entering the CTR, finds that he can no longer receive or transmit RT messages, he must:";"Remain clear of the CTR.";"Carry on into the CTR via the assigned Visual Reference Point complying with the last clearance received.";"Carry on into the CTR and await light signals for clearance to land.";"Carry on into the CTR, complying with the last clearance received while transmitting blind.";"a";"Air law";""
"26";"What SSR squawk should be set in an emergency?";"7700";"7777";"7000";"7600";"a";"Air law";""
"27";"If an aircraft marshaller holds his right arm down and repeatedly moves his left arm upward and backward it means:";"Turn left.";"Turn right.";"Keep moving ahead.";"Start your left engine.";"a";"Air law";""
"28";"What is the meaning of a steady green light from ATC to an aircraft in the air?";"Clear to land.";"Return to this airfield and await landing clearance.";"Land immediately.";"You have priority to land.";"a";"Air law";""
"29";"What colour are paved taxiway markings?";"Yellow.";"Red.";"Green.";"White.";"a";"Air law";""
"30";"What color are runway markings?";"White.";"Red.";"Green.";"Yellow.";"a";"Air law";""
"31";"You are on final approach and you see a steady red light from ATC. This means:";"Do not land. Continue circling.";"Continue approach and await a green light";"Do not land. Airfield closed.";"Do not land. Divert to your alternate airfield. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 6 / 24 PPL (A) – Aviation law";"a";"Air law";""
"32";"What word is used to describe the vertical position of an aircraft measured above mean sea level, when QNH is set on the altimeter subscale?";"Altitude.";"Elevation.";"Height";"Flight Level.";"a";"Air law";""
"33";"What action should a pilot take if he suffers radio communications failure during a VFR flight in VMC?";"Continue to fly in VMC, land at the nearest suitable aerodrome and report his arrival to his destination airfield.";"Continue to his destination, transmitting blind and attempting to avoid IMC.";"Fly to the nearest aerodrome, orbit on the dead side of the circuit and await a steady green from the control tower.";"Carry out the radio failure procedure in the RAF Flight Information Handbook and await the arrival of a Shepherd aircraft.";"a";"Air law";""
"34";"Which of the following flight levels would be suitable for an aircraft flying in accordance with the quadrantal rule and maintaining a magnetic track of 146 degrees?";"FL75.";"FL50.";"FL85.";"FL70.";"a";"Air law";""
"35";"A pilot intending to land at a civil aerodrome should initiate his descent to below transition level with the altimeter subscale set to:";"Aerodrome QNH.";"Aerodrome QFE.";"Regional QNH.";"101Millibars.";"a";"Air law";""
"36";"A light aircraft is taking off behind a Heavy or Medium category aircraft. What period of separation is required?";"2 minutes.";"4 minutes.";"3 minutes.";"5 minutes.";"a";"Air law";""
"37";"What is the definition of ""transition level“?";"The lowest available Flight Level above the transition altitude.";"The Flight Level below which the vertical position of an aircraft is expressed as ""height"".";"The transition altitude expressed as a Flight Level.";"The Flight Level at or above which the vertical position of an aircraft is expressed as ""altitude"". Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 7 / 24 PPL (A) – Aviation law";"a";"Air law";""
"38";"An aeroplane has a maximum take-off mass of 136,000 kg. What is its wake turbulence category?";"Heavy.";"Medium.";"A wide bodied aeroplane would be Heavy; a narrow bodied would be Medium.";"It depends on the actual take-off mass not the maximum take-off mass.";"a";"Air law";""
"39";"What word is used to describe the vertical position of an aircraft measured above an airfield datum level, when QFE is set on the altimeter subscale?";"Height";"Elevation.";"Altitude.";"Flight Level.";"a";"Air law";""
"40";"A PPL pilot who is flying in accordance with SVFR must have the following minima:";"A minimum visibility of 10 kms or more and remain clear of cloud and in sight of the surface.";"A minimum visibility of 10 kms or more and remain clear of cloud.";"A minimum visibility of 5 kms or more and remain clear of cloud and in sight of the surface.";"A minimum visibility of 10 kms or more and remain in sight of the surface.";"a";"Air law";""
"41";"Who is responsible for the issue of a Certificate of Airworthiness?";"The authority of the state of registration.";"The JAA.";"ICAO.";"The operator.";"a";"Air law";""
"42";"Which of the following normally defines 'runway in use' on an uncontrolled airfield?";"A runway into wind.";"A part of the maneuvering area defined for take off and landing.";"The most convenient runway to use for the aircraft operating from the aerodrome.";"The defined take off and landing portion of an aerodrome.";"a";"Air law";""
"43";"Who may not suspend VFR operations at an aerodrome on safety grounds";"The Approach Controller.";"The duty Aerodrome Controller.";"The local Area Control Centre (ACC).";"The appropriate ATS authority.";"a";"Air law";""
"44";"Where the Certificate of Registration must for an aircraft is kept while the aircraft is flying?";"In the aircraft.";"In the registered office of the owner.";"By the authority of the State of registration.";"On the ground at the point of departure. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 8 / 24 PPL (A) – Aviation law";"a";"Air law";""
"45";"Flying hours to be credited for a licence or rating must have been flown:";"In the same type or category of aircraft as that for which the licence or rating is being sought.";"In the same performance group of aircraft as that for which the licence or rating is being sought.";"In the same or higher performance group of aircraft as that for which the licence or rating is being sought.";"In the same make and type of aircraft as that for which the licence or rating is being sought.";"a";"Air law";""
"46";"The holder of a JAA PPL(A) who wishes to carry passengers must have made a minimum of take-offs and landings within the preceding:";"90 days.";"29 days.";"31 days.";"60 days.";"a";"Air law";""
"47";"If the holder of a pilot's licence learns that he is to undergo surgery, what are his obligations in terms of informing the aviation medical authority?";"He should contact his aviation medical authority without delay and seek their advice on his circumstances.";"There is no requirement to do so provided the pilot does not fly again as pilot in command until after the surgical operation.";"He should advise the medical authority of the circumstances only if he is due to receive a general anesthetic.";"He has no obligations to tell anyone as this is a private matter.";"a";"Air law";""
"48";"How long is a JAA PPL (A) issued for?";"5 years.";"3 years.";"10 years.";"8 years.";"a";"Air law";""
"49";"The skills test for a JAA PPL (A) must be taken within _________ of completing flying instruction.";"6 months.";"One year.";"4 months.";"3 months.";"a";"Air law";""
"50";"Application for the grant of a JAA PPL (A) licence must be made within_____ completing the theoretical knowledge examinations.";"24.";"12.";"36.";"18. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 9 / 24 PPL (A) – Aviation law";"a";"Air law";""
"51";"A pilot's licence issued by one JAA member State may be converted to a licence of any other JAA member State (the new member State), provided that:";"The new member State is the licence holder's normal State of residence or that full-time employment has been taken by the licence holder in that State.";"The licence holder has resided in the new member State for at least 31 days.";"The licence holder intends to follow a course of study in the new member State lasting at least three months.";"The new member State has no reasonable grounds for refusing to convert the licence.";"a";"Air law";""
"52";"There are three conditions that a holder of a JAA PPL (A) must fulfill before he/she may act as pilot in command, or as a co-pilot. Which of the following is not a requirement?";"Holds an Instrument Rating.";"Holds a Type or Class rating pertinent to the aircraft to be flown.";"Holds a valid medical certificate.";"Is not flying for remuneration.";"a";"Air law";""
"53";"Who is responsible for ensuring that all relevant aircraft documentation is carried on an international flight?";"The pilot in command.";"The organisation hiring out the aircraft.";"The air traffic organisation to whom the flight plan is submitted.";"The flying supervisor at the airfield of departure.";"a";"Air law";""
"54";"The departure and arrival time entered by a PPL holder in his flying log book is taken as follows:";"The time the aircraft begins to move under its own power and the time it comes to rest following the last";"The time of the first take-off and the time of the last landing of the sortie.";"The time of engine start and the time of engine shut-down.";"The time the aircraft enters the active runway for the first take-off and the time it vacates the runway after the last landing.";"a";"Air law";""
"55";"How long is an Instrument Rating valid for?";"12 months.";"6 months.";"18 months.";"The IR is valid provided regular skill tests are completed at intervals dictated by the authority.";"a";"Air law";""
"56";"If a pilot holding a medical certificate issued under the authority of JAR-FCL receives an injury or is suffering from a medical condition which affects his ability to act as the crew member of an aircraft:";"The medical certificate ceases to be valid.";"The medical certificate will be suspended after 25 days following the date of the injury or onset of the illness unless the pilot has again been declared fit.";"The medical certificate will be suspended if the illness or injury has been reported to the authority.";"The medical certificate will remain valid. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 10 / 24 PPL (A) – Aviation law";"a";"Air law";""
"57";"The privileges of the IMC rating:";"May be exercised in the sovereign airspace of the State issuing the rating. The exercise of the privileges in the airspace of another JAA member state is subject to the prior agreement of that state.";"Entitle the holder to fly in controlled airspace worldwide.";"May only be exercised in the sovereign airspace of the State issuing the rating.";"May be exercised in the sovereign airspace of any JAA member state without prior agreement.";"a";"Air law";""
"58";"Which of the following ratings on a JAA PPL (A) precludes the requirement for a separate Night Rating to be held by a private pilot who wishes to fly as PIC at night?";"Instrument Rating.";"IMC Rating.";"Full Instructor Rating.";"Assistant Instructor Rating.";"a";"Air law";""
"59";"An applicant for a Private Pilot Licence must be at least";"17 years old.";"15 years old.";"16 years old.";"18 years old. 2967-Z1";"a";"Air law";""
"60";"When should the student pilot present his Pilot Medical Certificate?";"Before his first solo flight.";"Before the beginning of theoretical lessons.";"Before the beginning of a practical training.";"At giving in the exam's application.";"a";"Air law";""
"61";"What Medical Certificate is required for a holder of a Private Pilot Licence?";"Class 1 or Class 2 Medical Certificate.";"Class 1 Medical Certificate only.";"Class A or Class B Medical Certificate";"";"a";"Air law";""
"62";"What Medical Certificate is required for a student pilot?";"Class 1 or Class 2 Medical Certificate.";"Class 1 Medical Certificate only.";"Class A or Class B Medical Certificate.";"";"a";"Air law";""
"63";"At least how many hours of dual instructions on aeroplane must have an applicant for a PPL (A)?";"25 hours.";"10 hours.";"15 hours.";"20 hours. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 11 / 24 PPL (A) – Aviation law";"a";"Air law";""
"64";"How many hours of total flying hours, required for the practical skill test for an issue of a Private Pilot Licence, may be completed on a Flight & Navigation Procedures Trainer or Simulator?";"5.";"7.";"10.";"15.";"a";"Air law";""
"65";"At least how long must be the cross-country flight, required for the eligibility for the Private Pilot Licence skill test, and how many full stop landings at different aerodromes shall be made at this flight?";"150 NM; 2 landings.";"100 NM; 2 landings.";"200 NM; landings.";"250 NM; landings.";"a";"Air law";""
"66";"At least how many hours of flying experience as a pilot of airplanes must have an applicant for a Private Pilot Licence?";"45 hours.";"50 hours.";"40 hours.";"35 hours.";"a";"Air law";""
"67";"What does the term ""solo flight time"" mean?";"Solo flight time of a student-pilot.";"Entire flight time when a pilot is alone in the aircraft.";"Entire flight time, when a pilot is alone in the aircraft, and 50% of the co-pilot flight time.";"Flight time as a pilot-in-command.";"a";"Air law";""
"68";"To act as pilot in command of an airplane carrying passengers, the holder of PPL(A) must have made at least three takeoffs and three landings in an airplane of the same class, and if a type rating is required, of the same type, within the preceding";"90 days.";"12 calendar months.";"24 calendar months.";"";"a";"Air law";""
"69";"The three takeoffs and landings during the last 90 days that are required to act as pilot of an airplane carrying passengers at night must be done during the time period from the end of evening civil twilight to the beginning of morning civil twilight.";"Sunset to sunrise.";"1 hour after sunset to 1 hour before sunrise.";"The end of evening civil twilight to the beginning of morning civil twilight Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 12 / 24 PPL (A) – Aviation law";"";"a";"Air law";""
"70";"The Flight Time is the total time from the moment";"Than an aircraft first moves under its own or external power for the purpose of taking off until the moment it comes to rest at the end of the flight.";"Than an aircraft starts its engine(s) for the purpose of taking off or when a non-powered aircraft first moves, until the moment engine(s) stop(s) operating or when a non-powered";"Aircraft comes to rest at the end of the flight.";"Than an aircraft becomes completely airborne until the moment it finally touches the ground at landing.";"a";"Air law";""
"71";"Flight time during which the flight instructor will only observe the student acting as pilot-in- command and shall not influence or control the flight of the aircraft is";"Flight time as student pilot-in-command (SPIC).";"Solo flight time under supervision.";"Flight time as pilot-in-command.";"Solo flight time.";"a";"Air law";""
"72";"Which aircraft, and under which conditions, may a holder of a private pilot licence fly, provided he is properly endorsed?";"All airplanes without exceptions provided no payment or refund is done for such flight.";"All airplanes without exceptions provided no payment or refund is given to the pilot.";"All single-engined airplanes provided no payment or refund is done for such flight.";"All airplanes up to the maximum takeoff mass 1,500 kg, provided no payment or refund is given to the pilot.";"a";"Air law";""
"73";"As a substitute for the proficiency check with an examiner, what minimum flight time and what number of takeoffs and landing is required for the revalidation of a single pilot single engine airplane class rating?";"12 hours of flight time within 12 months preceding the expiry of the rating, including 6 hours of pilot-in-command time, and 12 takeoffs and 12 landings.";"12 hours of flight time within 12 months preceding the expiry of the rating, including 5 hours of pilot-in-command time, and takeoffs and landings.";"10 hours of flight time within 12 months preceding the expiry of the rating, including 6 hours of pilot-in-command time, and 12 takeoffs and 12 landings.";"";"a";"Air law";""
"74";"How long is the period before the expiry date of a single pilot single engine rating, during which a proficiency check for a revalidation may be done?";"3 months.";"15 days.";"1 month.";"2 months.";"a";"Air law";""
"75";"To act as pilot-in-command of an aircraft carrying passengers, the private licence holder must have three takeoffs and landings within the preceding 90 days as the sole manipulator of the controls in an airplane the same";"Type or class.";"Make and model.";"Class, but not the type. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 13 / 24 PPL (A) – Aviation law";"";"a";"Air law";""
"76";"With the respect to the certification of airmen, which is a class of aircraft?";"Single engine land and sea, multiengine land and sea.";"Airplane, rotorcraft, glider, lighter-than-air.";"Lighter-than-air, airship, hot air balloon, gas balloon.";"";"a";"Air law";""
"77";"With the respect to the certification of airmen, which is a category of aircraft?";"Airplane, rotorcraft, glider, lighter-than-air.";"Gyroplane, helicopter, airship, free balloon.";"Single engine land and sea, multiengine land and sea.";"";"a";"Air law";""
"78";"The pilot or student pilot, when becoming aware of hospital admission of more than 12 hours, surgical operation or invasive procedure, the regular use of medication, the regular use of correcting lenses,";"Must not fly until seeks the advice of the competent aviation doctor.";"Must pass the aviation medical exam again.";"Must inform the CAA within the period of 21 days.";"";"a";"Air law";""
"79";"In which of the following cases should the aviation medical certificate deem to be suspended?";"Any illness involving incapacity to his functions as a member of flight crew throughout a period of 21 days or more, or any significant personal injury involving incapacity to undertake his functions as a member of the flight crew.";"Any surgical operation or invasive procedure and pregnancy.";"Any surgical operation or invasive procedure.";"";"a";"Air law";""
"80";"How long are single pilot single engine class ratings valid?";"2 years.";"6 months.";"1 year.";"3 years.";"a";"Air law";""
"81";"Maximum validity of the pilot licence is";"5 years.";"2 years.";"3 years.";"4 years.";"a";"Air law";""
"82";"The validity of a pilot licence is determined by the validity of";"The ratings contained therein and the Medical Certificate.";"The Medical Certificate only.";"The licence itself, as endorsed in the licence.";"";"a";"Air law";""
"83";"Which preflight action is specifically required of the pilot prior to each flight?";"Become familiar with all available information concerning the flight.";"Check the aircraft logbooks for appropriate entries.";"Review wake turbulence avoidance procedures. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 14 / 24 PPL (A) – Aviation law";"";"a";"Air law";""
"84";"Preflight action, as required for all flights away from the vicinity of an airport, shall include";"An alternate course of action if the flight cannot be completed as planned.";"The designation of an alternate airport.";"A study of arrival procedures at airports/heliports of intended use.";"";"a";"Air law";""
"85";"In addition to other preflight actions for a VFR flight away from the vicinity of the departure airport, regulations specifically require the pilot in command to determine";"Runway lengths at airports of intended use and the aircraft’s takeoff and landing distance data.";"Review traffic control light signal procedures.";"Check the accuracy of the navigational equipment and the emergency locator transmitter (ELT).";"";"a";"Air law";""
"86";"Pilots are required to keep their safety belts and shoulder harnesses fastened during";"Takeoffs and landings.";"All flight conditions.";"Flight in turbulent air.";"";"a";"Air law";""
"87";"Which best describes the flight conditions under which pilots are specifically required to keep their safety harness fastened?";"Safety belts during take off and landing and while en route; shoulder harnesses during takeoff and landing.";"Safety belts during take off and landing; shoulder harnesses during takeoff and landing.";"Safety belts during take off and landing; shoulder harnesses during takeoff and landing and while en route.";"";"a";"Air law";""
"88";"With respect to passengers, what obligation, if any, does a pilot in command have concerning the use of seat belts?";"The pilot in command must brief the passengers with the location and the use of seat belts.";"The pilot in command must instruct the passengers to keep their seat belts fastened for the entire flight.";"The pilot in command has no obligation in regard to passengers' use of seat belts.";"";"a";"Air law";""
"89";"Who is responsible for determining if an aircraft is in condition for safe flight?";"The owner or operator.";"A certified aircraft mechanic.";"The pilot in command.";"";"a";"Air law";""
"90";"The person directly responsible for the prelaunch briefing of passengers for a flight is";"Pilot in command.";"Safety officer.";"Ground crewmember. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 15 / 24 PPL (A) – Aviation law";"";"a";"Air law";""
"91";"What does ""AAL"" mean?";"Acknowledge.";"Above aerodrome level.";"Angle of attack limitation.";"Aerodrome altitude level.";"a";"Air law";""
"92";"Which aircraft speed should be entered into the ""Cruising Speed"" block of an ICAO Flight Plan?";"Calibrated Air Speed.";"Indicated Air Speed.";"True Air Speed.";"Ground Speed.";"a";"Air law";""
"93";"What should be entered into the ""LEVEL"" block of an ICAO VFR Flight Plan?";"Either the word ""VFR"" or the proposed cruising altitude.";"It is left blank for VFR flights.";"The proposed cruising altitudes.";"The phrase ""VFR: variable"".";"a";"Air law";""
"94";"What is the meaning of ""WIP""?";"Work in progress.";"With permission.";"With effect from.";"Weight increase procedure.";"a";"Air law";""
"95";"An aircraft is in controlled airspace under ATC control. The responsibility for ensuring adequate terrain clearance rests with:";"Civil Aviation Directorate of Republic of Serbia.";"The aircraft commander.";"ATC only.";"ATC and the aircraft commander.";"a";"Air law";""
"96";"The Air Traffic Control may issue a permission for a SVFR flight";"For all flights in the restricted zone.";"For flights overflying of the terminal zone.";"For flights entering or leaving the control zone only.";"For flying an airport traffic circuit inside the control zone only.";"a";"Air law";""
"97";"The vertical limits of a control zone are";"From 600 m GND to the defined altitude.";"From 600 m GND to the bottom limit of a terminal area.";"From the surface to the defined altitude.";"From the surface to 900 m MSL.";"a";"Air law";""
"98";"What is the definition of a term ""Control Zone""?";"Airspace of defined dimensions within which all air traffic is controlled.";"Airspace immediately above an airport.";"A controlled airspace extending upwards from the surface of the earth. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 16 / 24 PPL (A) – Aviation law";"";"a";"Air law";""
"99";"A part of an airspace of defined dimensions above defined area where flights are not allowed, is called";"Terminal area.";"Prohibited zone.";"Restricted zone.";"Control zone.";"a";"Air law";""
"100";"Flight through a restricted area should not be accomplished unless the pilot has";"Filed an IFR flight plan.";"Received prior authorization from the controlling agency.";"Received prior permission from the commanding officer of the nearest military base.";"";"a";"Air law";""
"101";"What is the definition of the term ""Controlled Airspace""?";"Airspace of defined dimensions within which all aircrafts are controlled.";"Airspace around an airport.";"Airspace immediately above an airport with more than one runway.";"An airspace within which air traffic control services are provided.";"a";"Air law";""
"102";"The controlled airspace, extending from the surface to the specified altitude, is the";"Control area.";"Terminal control area.";"Control zone.";"Flight information region.";"a";"Air law";""
"103";"Who is responsible for the adequate safe separation between VFR flights in the air?";"Pilots themselves exclusively.";"The Air Traffic Control exclusively.";"The Air Traffic Control and the Surveillance Radar.";"The Air Traffic Control and pilots.";"a";"Air law";""
"104";"Which rules of the air apply to an aircraft registered in the Republic of Slovenia while flying outside the native aerospace?";"Rules of the air of the state being overflown.";"Rules of the air of the Republic of Serbia.";"Rules of the air of the state producer of the aircraft.";"International regulations ICAO.";"a";"Air law";""
"105";"A controlled airspace extending upwards from a specified height above the earth is";"Aerodrome traffic zone.";"Control area.";"Control zone.";"De-conflicted zone. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 17 / 24 PPL (A) – Aviation law";"a";"Air law";""
"106";"What is the lateral dimension of the airspace at the inner side of the state border, where all aircraft need to obtain special permission for flying within it?";"5 km.";"7 km.";"9 km.";"11 km.";"a";"Air law";""
"107";"When flying a sport aircraft above the territory of the Republic of Slovenia, supplemental oxygen shall be used at the altitude above mean sea level greater than";"4,000 m.";"3,600 m.";"3,800 m.";"4,200 m.";"a";"Air law";""
"108";"What is the minimum safe altitude required to operate an aircraft over settlements or over open-air assembly of people?";"An altitude allowing, if a power unit fails, an emergency landing without undue hazard to persons or property on the surface.";"150 m (500 ft) above ground and not closer than 150 m from any person, vessel or structure.";"150 m (500 ft) above the highest obstacle within a horizontal radius of 300 m of the aircraft.";"300 m (1,000 ft) above the highest obstacle within a horizontal radius of 600 m of the aircraft.";"a";"Air law";""
"109";"When flying visually in class G airspace at altitudes above 900 m (3,000 ft) MSL or 300 m (1,000 ft) from ground, whichever is higher, the pilot of an aircraft must maintain the vertical separation from clouds at least";"300 m.";"100 m.";"150 m.";"250 m.";"a";"Air law";""
"110";"Visual flying of aircraft in class G airspace at altitudes above 900 m (3,000 ft) MSL or 300 m (1,000 ft) from ground, whichever is higher, up to 3,050 m (10,000 ft), is permitted if the horizontal visibility is at least";"1.5 km.";"8 km.";"5 km.";"3 km.";"a";"Air law";""
"111";"When approaching to land at an airport, without an operating control tower, in Class G airspace, the pilot should";"Make all turns to the left, unless otherwise indicated.";"Enter and fly a traffic pattern at 800 feet AAL.";"Fly a left-hand traffic pattern at 800 feet AAL. Latest information about the exam can be found at www.cad.gov.rs/osoblje.php 18 / 24 PPL (A) – Aviation law";"";"a";"Air law";""
"112";"The minimum horizontal distance from clouds requirement for VFR flight in class G airspace at altitudes above 300 m from ground or 900 m MSL, whichever is higher, is";"600 m.";"300 m.";"1,500 m.";"8,000 m.";"a";"Air law";""
"113";"No person may take off or land an aircraft under basic VFR at an airport that lies within Class D airspace unless the";"Flight visibility at that airport is at least 1.5 km.";"Ground visibility at that airport is at least 1.5 km.";"Ground visibility at that airport is at least 5.0 km.";"";"a";"Air law";""
"114";"The basic VFR weather minimums for operating an aircraft within Class D";"Airspace is clear of clouds and 3.0-km visibility.";"450-meter ceiling and 1.5-km visibility.";"450-meter ceiling and 5.0-km visibility.";"";"a";"Air law";""
"115";"Which are the meteorological minima, that allow the tower to permit an SVFR flight in a control zone during daytime? The flight visibility must be at least";"1,500 m and cloud basis 300 m GND.";"1,500 m.";"5,000 m and cloud basis 300 m GND.";"5,000 m.";"a";"Air law";""
