"30";"Ulje cirkuliše kroz motor pomoću:";"pumpe pokretane motorom";"elekritične pumpe";"na principu slobodnog pada";"inercijom zamajca motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"31";"Kod elise promenljivog koraka, pri poletanju i penjanju kraci se postavljaju na:";"mali korak";"veliki korak";"srednju vrednost kraka";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"32";"Vazduhoplovom upravljamo oko poprečne ose:";"sa krmilom visine";"sa krmilom pravca";"sa trimerom";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"33";"Kada se uključi grejanje karburatora, izlazna snaga motora je smanjena zbog:";"povećanja temperature vazduha u usisnom vodu";"veće težine smeše";"manje težine smeše";"smanjenja količine goriva u smeši";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"34";"Kod motora sa elisom nepromenljivog koraka ručica gasa reguliše:";"RPM";"smešu";"MP";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"35";"Tečnost u magnetnom kompasu služi za:";"lakše očitavanje instrumenta jer preiušuje oscilacije kompasne ruže";"lakše očitavanje instrumenta jer funcioniše kao uvećavajuće staklo";"smanjenje magnetne inklinacije";"temperaturnu kompenzaciju";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"36";"Sa podešavanjem trimera kormila visine u letu:";"poništavamo silu koja je potrebna da bi se palica držala u određenom položaju";"pomeramo centar težišta vazduhoplova";"menjamo uzgon, tako da je uvek jednak sili teže vazduhoplova";"izjednačavamo otklone obe polovine kormila visine";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"37";"Koji od navedenih instrumenata standardno opremljenog ultra- lakog aviona i dalje rade u slučaju otkaza izvora el.energije?";"visinomer, variometar i brzinomer";"veštački horizont, variometar, žiroskopski kompas, brzinomer";"visinomer, variometar, pokazivač skretanja i klizanja i brzinomer";"visinomer, brzinomer";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"38";"Koju visinu pokazuje visinomer ako je podešen na pritisak QFE?";"visinu iznad aerodroma";"nivo leta";"stvarnu visinu iznad terena";"nadmorsku visinu";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"39";"Visinomer podešen na pritisak QFE nakon sletanja pokazuje:";"nulu";"visinu aerodroma iznad ravni pritiska 1013.2 mbar";"visinu po pritisku aerodroma iznad standardne vrednosti";"nadmorsku visinu aerodroma";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"40";"Za rad brzinomera potreban je dovod:";"ukupnog pritiska i posebno dovod statičkog pritiska";"statičkog pritiska";"dinamičkog pritiska a posebno dovod statičkog pritiska";"potpritiska iste vrednosti kao i dinamički pritisak";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"41";"Na brzinomeru operativnu oblast brzina letenja sa izvučenim zakrilcima označava:";"beli luk";"zeleni luk";"žuti luk";"početak belog i kraj zelenog luka";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"42";"Kojom oznakom je obeležena brzina na brzinomeru jednomotornog vazduhoplova, koja se nikada ne sme prekoračiti?";"crvenom crtom";"početkom zelenog luka";"krajem zelenog luka";"početkom belog luka";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"43";"Avion je parkiran tokom noći i visinomer je pravilno podešen da pokazuje 1000m. Naredno jutro na instrumentu se očitava 1.200m. Uzrok ove razlike u pokazivanju je:";"prolazak područja niskog vazdušnog pritiska";"očigledan kvar instrumenta, koji zbog toga mora na popravku";"zapušeni statički otvori";"prolazak područja visokog vazdušnog pritiska";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"44";"Šta predstavlja zeleni luk na skali instrumenta u vazduhoplovu?";"oblast normalne upotrebe";"oblast brzina kada je moguća upotreba stajnog trapa i zakrilaca";"najveća dozvoljena vrednost";"opasna oblast";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"45";"Šta prestavlja žuti luk na skali instrumenta u vazduhoplovu?";"oblast ograničenja povećane pažnje";"najveća dozvoljena vrednost";"oblast brzina kada je moguća upotreba stajnog trapa i zakrilaca";"oblast normalne upotrebe";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"46";"Šta u opštem slučaju predstavlja crvena crta na skali instrumenta?";"najveća ili najmanja dozvoljena vrednost";"oblast brzina kada je moguća upotreba stajnog trapa";"oblast normalne upotrebe";"opasna oblast";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"47";"Avionski rezervoari goriva moraju posedovati odušni otvor zbog:";"sprečavanja nastanka vakuuma u rezervoaru";"omogućivanja isparenja benzina";"ventilacije rezervoara";"sprečavaju kondenzaciju vlage na zidovima rezervoara";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"48";"Avionske gume uskog profila i višeg pritiska podesnije su za sletanje:";"na betonske i asfaltne piste";"na travnate piste";"na tvrda i neravna letilišta";"na mekane i reskvašene travnate piste";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"49";"Krilca i zakrilca se nalaze na:";"izlaznoj ivici krila";"napadnoj ivici krila";"zavisi od konstruktivnog rešenja krila";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"50";"Poluvolanom (palicom) se pomeraju:";"krmilo dubine i krilca";"krmilo dubine i krmilo pravca";"krilca i zakrilca";"krmilo dubine, krilca i trimeri";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"51";"Zakrilca služe:";"da povećaju uzgon i otpor";"da povećaju uzgon";"da povećaju otpor";"kao vazdušne kočnice u procesu zaustavljanja";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"52";"Glavni izvor električne struje kada motor radi je:";"dinamo, odnosno alternator";"magnet";"akumulator";"bobina";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"53";"Čemu služi crvena linija na točku i na gumi glavne noge stajnog trapa vazduhoplova:";"kontroli da se guma nije pomerala na točku noge stajnog trapa";"centriranju točka";"prepoznavanju tipa gume";"kontroli pritiska vazduha u gumi";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"54";"Koja je najsigurnija praktična metoda provere količine goriva u rezervoarima kada je vazduhoplov na zemlji:";"vizuelna kontrola količine goriva u vazduhoplovu";"njihanjem krila i osluškivanjem zapljuskivanja goriva u rezervoaru";"očitavanjem merača goriva";"vaganjem vazduhoplova";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"55";"Koje škodljive primese je najteže otkloniti iz goriva jednostavnim načinom filtriranja:";"vodu";"sitne čestice rđe i nečistoće";"led";"mast ili ulje";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"56";"Uloga karburatora kod klipnog motora je:";"dovođenje smeše gorivo- vazduh u cilindre motora";"dovođenje vazduha u cilindre motora";"odvajanje sagorelih gasova iz izduvnog kolektora";"dovođenje goriva u cilindre motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"57";"Na šta treba pilot najpre obratiti pažnju, odmah po pokretanju motora:";"na pritisak ulja";"na pritisak goriva";"na obrtaje motora";"na temperaturu ulja";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"58";"Kako utiče velika nadmorska visina na performanse motornog vazduhoplova:";"performanse motora se smanjuju";"povećava se uzgon krila, jer su sile na krilu radi ređeg vazduha manje";"potrebna dužina staze za poletanje je manja";"performanse motora se povećavaju";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"59";"Snaga motora sa visinom opada zbog:";"manje gustine vazduha, punjenje cilindara nije dovoljno";"niskih temperatura, jer motor ne radi na optimalnoj radnoj temperaturi";"veće gustine vazduha, motor dobija siromašnu smešu";"manje gustine vazduha, motor dobije prebogatu smešu";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"60";"Klipni motor vazduhoplova razvija najveću snagu:";"pri poletanju na punim obrtajima";"na većim visinama";"pri poletanju bez obzira na obrtaje";"u režimu horizontalnog leta na maloj visini";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"61";"Blok savremenog vazduhoplovnog motora je izrađen od:";"aluminijske legure";"čelične legure";"bronze";"titanijumove legure";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"62";"Ulje u klipnom motoru služi:";"podmazivanju i hlađenju motora";"povećanju temperature sagorevanja smeše u cilindrima";"isključivo za tiši rad motora";"kao dodatak za pravilno mešanje smeše koja sagoreva u cilindrima";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"63";"Gde možemo dobiti podatak, koje ulje je propisano za motor našeg vazduhoplova:";"u priručniku za letenje vazduhoplovom";"svi klipni vazduhoplovi upotrebljavaju isto ulje gradacije SAE40 (80Nj)";"sa nalepnice na posudi za ulje";"na pločici u blizini merne šipke za ulje";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"64";"Koji je normalan postupak, kada se posle puštanja u rad toplog motora pritisak ulja ne pojavi u propisanom vremenu:";"prekinuti rad motora";"povećati broj obrtaja motora, da uljna motorna pumpa poveća pritisak ulja";"ništa ne preduzimati, jer su instrumenti na savremenim vazduhoplovima jeftini i nepouzdani";"osiromašiti smešu, da time momentalno podignemo temperaturu glave cilindra";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"65";"Najverovatniji uzrok oscilacije pritiska ulja u klipnom motoru vazduhoplova je:";"nizak nivo ulja u motoru";"kvar indikatora pritiska ulja";"istrošen ili napukao ležaj radilice motora";"curenje zaptivke elise motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"66";"Pri proveri rada motora na zemlji proveravamo rad grejanja karburatora, time što postavljamo komandu grejanja karburatora u položaj HOT i kontrolišemo:";"da obrtaji motora opadnu za određenu vrednost";"da se poveća dotok toplog vazduha u kabinu";"takvu kontrolu na zemlji nije moguće ostvariti";"da obrtaji motora porastu do određene vrednosti";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"67";"Koliko će svećica raditi ako otkaže jedan magnet kod četverocilindričnog motora vazduhoplova:";"4";"8";"0";"2";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"68";"Da motor savremenog klipnog motora vazduhoplova može da prihvati rad, ako rukom okrenemo elisu:";"da, ako su magneti uključeni";"normalno ne, ako je hladan i ako je paljenje isključeno";"ne, ni pod kojim uslovima";"da, uvek";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"69";"Konstruktivne celine svakog zmaja su";"trajk, pogonska grupa i krilo";"trajk, elisa, motor i krilo";"trajk, sedišta, motor i krilo";"trup, nosač motora, krilo i pogonska grupa";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"70";"Glavni delovi krila zmaja su:";"kostur i jedro";"triangl i jedro";"trajk i kičma";"kresta i kičma";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"71";"Kostur krila sastavljen je od:";"cevi legura aluminijuma, ploča i vijaka što ih spajaju i sajli";"platna i kičme kostura";"triangla, kičme kostura i metalnih cevi";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"72";"Ramenjače služe za:";"formiranje strele krila zmaja i učvršćenje napadne ivice krila";"formiranje izlazne ivice krila";"formiranje aerodrinamičnog poprečnog preseka profila";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"73";"Triangl je konstrukcijski elemenat koji omogućuje:";"upravljanje zmajem prebacivanjem težišta";"konstruktivno povezivanje motora i sedišta zmaja";"konstruktivno povezivanje trapa i sedišne konstrukcije zmaja";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"74";"Trajk služi za:";"povezivanje konstruktivnih elemenata trapa, dela za smeštaj putnika, povezivanje motora i motornih komandi sa konstrukcijom";"upravljanje zmajem na zemlji";"upravljanje zmajem u letu";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"75";"Sastavni delovi krila zmaja su";"platno, sajle, late i cevi";"metalna konstrukcija i platno";"platno, sajle i late";"stringeri, ramenjače i rebra";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"76";"Pogonsku grupu čine";"motor i elisa";"motor, reduktor i elisa";"motor, komande motora i elisa";"elisa, reduktor, komande motora, nosač motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"77";"Najjače sajle na konstrukciji motornog zmaja su:";"donje bočne";"donje i gornje bočne";"zatezač";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"78";"Obavezno pre letenja prekontrolišemo";"noseći zavrtanj krilo trajk";"šraf na zatezaču";"šrafove na nosnoj cevi";"nosač motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"79";"Najštetniji uticaj na platno krila ima";"sunce";"vlaga";"temperatura";"pritisak";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"80";"Materijal za izradu platna na krilu je";"dakron";"perkalj platno";"svila";"sintetički materijal F-111";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"81";"Konstrukcija motornog zmaja mora da izdrži opterećenje u letu";"+4- -2 g";"+6- -3 g";"+4- - 4 g";"+5, -2g";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"82";"Samoosiguravajuća matica može da se skida i stavlja na šraf";"samo 1 put";"2 puta";"3 puta";"5 puta";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"83";"Glavni izvor električne energije u letu je";"alternator- magnet";"struja vazduha";"akumulator";"dinamo";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"84";"Barometarski visinomer radi na principu merenja";"statičkog pritiska";"dinamičkog pritiska";"ukupnog pritiska";"razlike dinamičkog i statičkog pritiska";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"85";"Na zemlji podešen visinomer na 0m sutra dan pokaže 20m, pritisak";"pada";"raste";"ostaje isti";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"86";"Princip rada variometra je";"merenje razlike pritiska u kapsuli i okolo";"razlika statičkog i dinamičkog pritiska";"razlika ukupnog i statičkog pritiska";"merenje dinamičkog pritiska";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"87";"Pozitivan diedar krila daje";"stabilnost po pravcu";"stabilnost po dubini";"stabilnost po brzini";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"88";"Koliko oštećenih niti može da ima sajla";"nijednu";"jednu";"do ¼";"dve";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"89";"Crvena linija na felni i gumi pokazuje";"pomeranje gume oko felne";"pritisak u gumi";"položaj ventila";"stepen istrošenosti";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"90";"Provera kočnica na ULV se radi tokom";"voženja";"zaleta";"leta";"prilikom zaustavljanja";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"91";"Gume duže traju ako se letenje vrši sa";"trave";"asfalta";"betona";"zemljane površine";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"92";"Ukoliko je napon u akumulatoru suviše nizak, pokretanje motora je";"moguće ručnim pokretačem";"nemoguće";"";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"93";"Rad motora sa akumulatorom čiji je kapacitet smanjen je";"bezbedan";"nemoguć";"moguć ali kratko";"nije bezbedan";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"94";"Elisa treba da se opere tokom";"međuletnog pregleda";"godišnjeg pregleda";"mesečnog pregleda";"jednom u toku dva meseca";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"95";"Ukoliko motor ima prevelike obrtaje na punom gasu, a na elisi se može korigovati korak onda";"povećamo korak krakova elise";"smanjimo korak na svim kracima elise";"korak nema uticaja na obrtaje";"smanjujemo snagu motora smanjenjem hoda ručice gasa";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"96";"Pleksi staklo na kacigi i avionu se pere sa";"vodom i deterdžentom";"alkoholom";"benzinom";"benzolom";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"97";"Na ULV je poželjno koristiti akumulatore sa a. gelom b. kiselinom c. penom";"";"";"";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"98";"Uobičajeni način zaštite aluminijumskih cevi je";"eloksiranje";"cinkovanje";"bruniranje";"elektroforezom";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"99";"Opterećenje krila podrazumeva";"težinu podeljenu sa površinom krila";"masu na poletanju";"teret koji se može poneti";"otpornost materijala na određenu silu napona";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"100";"Pregledom ustanovimo da jedna aluminijumska cev na krilu ima ulegnuće, postupak je";"zameniti cev";"ispraviti ulegnuće";"obeležiti mesto ulegnuća i pratiti tokom eksploatacije";"učvrstiti deo spojem dur-aliuminijumskih obloga";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"101";"Glavni delovi padobrana su:";"Kupola sa konopcima, sistem veza, uređaj za aktiviranje";"Kupola sa konopcima, slobodni krajevi, karabini";"Kupola sa konopcima, „H“-pređice, karabin veze, pilot padobrančić";"Stabilizirajući padobran, kupola sa konopcima, uređaj za usporenje procesa otvaranja, sistem veza";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"102";"Od čega zavisi izbor padobrana za ULV:";"od težine i brzine ULV";"od maksimalne brzine ULV";"od karakteristika konstrukcije ULV";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"103";"Kupola padobrana izrađuje se od :";"Sintetičkih materijala male propustljivosti i određene otpornosti na kidanje";"Prirodne svile";"Pamučnih materijala male propustljivosti";"Kombinacije prirodnih i sintetičkih materijala";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"104";"Osnovna namena padobrana je:";"bezbedno spuštanje ljudi i materijala na zemlju";"usporavanje brizine spuštanja";"";"";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"105";"Osnovna sila koja omogućava ostvarivanje osnovne funkcije padobrana je:";"Otpor vazduha";"Sila zemljine teže";"Sila uzgona";"Rezultujuća sila";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"106";"Pilot padobrančić (inicijalni padobrančić)služi za:";"za iniciranje procesa otvaranja glavne kupole";"za stabilizaciju padobrana";"usporavanje procesa otvaranja";"kontrolisanje procesa otvaranja glavne kupole";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"107";"Način aktiviranja padobrana:";"Aktivira ga pilot";"aktivira se automatski na određenoj visini u slučaju da vertikalna brzina pređe određenu veličinu";"aktivira se automatski ukoliko vertikalna brzina dostigne određenu veličinu";"aktivira se automatski ukoliko horizontalna brzina padne ispod određene veličine";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"108";"Za koji deo ULV je vezan padobran za spasavanje letelice";"trajk/trup";"krilo";"pilota";"nosač motora";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"109";"U slučaju nenamernog otvaranja padobrana za spuštanje letelice:";"ugasiti motor i spustiti se padobranom na zemlju";"odbaciti padobran i sleteti na prvi pogodan teren";"smanjiti gas na minimum i spustiti se padobranom na zemlju";"neposredno pred dodir sa zemljom dodati gas radi smanjenja vertikalne brzine";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"110";"Centralni deo glavne kupole sadrži otvor – „ventil“. Svrha ovog otvora jeste:";"Omogućavanje isticanja dela vazduha iz kupole i omogućavanje stabilnog spuštanja kupole";"Sprečavanje suvišnog opterećenja kupole u porocesu otvaranja";"Smanjivanje dinamičkog udara prilikom otvaranja padobrana";"Omogućavanje upravljanja kupolom";"a";"Opste znanje o vazduhoplovu-motorni zmaj";""
"1";"Kako zovemo komandne površine sa kojima upravljamo vazduhoplovom oko uzdužne ose:";"krilca- eleroni";"krmilo pravca";"visinsko krmilo";"trimer nagiba";"a";"Opste znanje o vazduhoplovu";""
"2";"2 Kako zovemo komandne površine sa kojima upravljamo vazduhoplovom oko poprečne ose:";"visinsko krmilo";"krmilo pravca";"krilca- eleroni";"trimer nagiba";"a";"Opste znanje o vazduhoplovu";""
"3";"Kako zovemo komandne površine sa kojima upravljamo vazduhoplovom oko vertikalne ose:";"krmilo pravca";"visinsko krmilo";"krilca- eleroni";"trimer nagiba";"a";"Opste znanje o vazduhoplovu";""
"4";"U toku kompletnog četvorotaktnog ciklusa klipnog motora, radilica se okrene";"dva puta";"jedan put";"tri puta";"četiri puta";"a";"Opste znanje o vazduhoplovu";""
"5";"Kojim redosledom se smenjuju taktovi u četvorotaktnom Otto motoru?";"širenje, izduvavanje, usisavanje, sabijanje";"izduvavanje, sabijanje, usisavanje, širenje";"usisavanje, širenje, sabijanje, izduvavanje";"izduvavanje, sabijanje, ekspanzija, izduvavanje";"a";"Opste znanje o vazduhoplovu";""
"6";"U procesu sabijanja radne smeše:";"oba ventila su zatvorena";"izduvni ventil je otvoren";"usisni ventil je otvoren";"izduvni i usisni ventili su otvoreni";"a";"Opste znanje o vazduhoplovu";""
