"11";"Pilot u ulozi PIC vazduhoplova koji ulazi u suvereni vazdušni prostor druge države potpisnice u nameri da sleti mora da ima:";"Letačku dozvolu izdatu od vazduhoplovnih vlasti države u kojoj je vazduhoplov registrovan.";"Letačku dozvolu izdatu od bilo koje države potpisnice ICAO.";"Letačku dozvolu izdatu od bilo koje države članice JAA.";"Bilo koju važeću pilotsku dozvolu.";"a";"Vazduhoplovni propisi";""
"12";"Koja je osnovna pretpostavka za VFR let?";"Da će se izvršavati u vizuelnim meteorološkim uslovima (VMC).";"Da pilot ima ispravno ovlašćenje koje omogućava vazduhoplovu let po VFR pravilima.";"Da će se izvršavati samo u vazdušnom prostoru klase G.";"Let se neće izvršavati iznad FL 180.";"a";"Vazduhoplovni propisi";""
"13";"Kada poziciona svetla vazduhoplova moraju da budu upaljena?";"Od izlaska do zalaska sunca ili kada to odredi vazduhoplovna vlast.";"Kada se vazduhoplov kreće po manevarskim površinama aerodroma.";"Kada god pilot u ulozi PIC oseti da treba da ih uključi.";"Noću ili kada to odredi vazduhoplovna vlast.";"a";"Vazduhoplovni propisi";""
"14";"Kada vazduhoplov leti, po kojim pravilima let mora da se izvršava?";"Ili po VFR ili po IFR.";"Po IFR u IMC i po VFR u VMC.";"Po diskrecionoj odluci vođe posade.";"U skladu sa instrukcijama ATC.";"a";"Vazduhoplovni propisi";""
"15";"Kada možete da letite iznad naseljenih područja, gradova ili naselja na visini sa koje nije moguće izvršiti bezbedno sletanje iz nužde?";"Samo kada polećete ili slećete.";"Nikada.";"Samo kada izbegavate oblake i zadržavate vizuelni kontakt sa zemljom.";"Samo kada vam operator to odobri.";"a";"Vazduhoplovni propisi";""
"16";"Kada se dva vazduhoplova približavaju na otprilike istoj visini, onaj kome je drugi vazduhoplov sa njegove desne strane je dužan da mu da prvenstva puta. Tačno ili netačno?";"Tačno, pod uslovom da su u istoj klasi.";"Netačno. Onaj koji ima drugog sa svoje leve strane ima prvenstva puta.";"Tačno, osim ako drugi vazduhoplov vuče jedrilicu.";"Netačno, pod uslovom da drugi vazduhoplov ne vuče zapregu.";"a";"Vazduhoplovni propisi";""
"17";"Koji od: a), b), c) ili d) navoda daje najtačniju izjavu? Kada se dva ili više vazduhoplova nalaze u finalnom prilazu:";"Niži vazduhoplov ima prvenstvo puta ukoliko ATC već nije odredila redosled sletanja.";"Viši vazduhoplov ima prvenstvo puta.";"Niži vazduhoplov ima prvenstvo puta.";"Vazduhoplov koji je na najmanjoj horizontalnoj udaljenosti od praga piste na koji se vrši pristajanje ima prvenstvo puta.";"a";"Vazduhoplovni propisi";""
"18";"Osim kada poleće ili sleće, ili pod drugim definisanim okolnostima, vazduhoplov ne sme da leti blizu bilo koje osobe, plovnih objekata, vozila ili objekata na udaljenosti manjoj od:";"1000 fita.";"500 fita.";"800 fita.";"1500 fita.";"a";"Vazduhoplovni propisi";""
"19";"Dva vazduhoplova koji lete po pravilima vizuelnog letenja, od kojih jedan prima podatke od radarske informativne službe (RIS), se približavaju u prividno stalnom kursu. Dakle, postoji opasnost da će doći do sudara. Činjenica da jedan od njih prima RIS ne utiče na situaciju. Primenom vazduhoplovnih propisa, vazduhoplov koji ima drugi sa svoje leve strane ima pravo prvenstva i treba da održava:";"Kurs i brzinu.";"Relativnu visinu i brzinu.";"Apsolutnu visinu i kurs.";"Apsolutnu visinu i brzinu.";"a";"Vazduhoplovni propisi";""
"20";"Dok letite noću, u ulozi PIC i vidite protiv-sudarno i stalno crveno svetlo na istoj visini, u konstantnom azimutnom kursu 0500, postoji li opasnost od sudara? I ko ima prvenstvo puta?";"Da. Drugi vazduhoplov ima prvenstvo puta.";"Da. Vi imate prvenstvo.";"Ne. Drugi vazduhoplov ima prvenstvo puta.";"Ne. Vi imate prvenstvo puta.";"a";"Vazduhoplovni propisi";""
"21";"Ako imalac PPL koji nema dodatna ovlašćenja, a ima prijem od radarske savetodavne službe (RAS), dobije instrukcije da promeni kurs, penje ili spušta, tako da ako postupa po uputstvima ne može da ostane u vizuelnim meteorološkim uslovima (VMC), trebalo bi da:";"Zadrži trenutni kurs i brzinu i da kaže kontroli letenja zašto ne može da postupi po uputstvima.";"Svejedno postupi po uputstvima, ali da ranije pređe na instrumente.";"Zadrži trenutni kurs i visinu, ne kaže ništa, i čeka sledeće uputstva od kontrolora.";"Postupi, koliko može, po uputstvima kontrolora, ali nikako ne prelazi u instrumentalne meteorološke uslove (IMC).";"a";"Vazduhoplovni propisi";""
"22";"Kontrolno područje (CTA) ustanovljeno spajanjem ATS ruta u okolini jednog ili više glavnih aerodroma je poznato kao:";"Područje terminalne kontrole (TMA).";"Vazdušni put.";"Kontrolna zona (CTR).";"Aerodromska zona (ATZ).";"a";"Vazduhoplovni propisi";""
"23";"Koja je međunarodna vazduhoplovna VHF frekvencija u nevolji?";"121.50MHz.";"123.45MHz.";"243.00MHz.";"406.00MHz.";"a";"Vazduhoplovni propisi";""
"24";"Koliko često se objavljuju vazduhoplovne informacije (AIC)?";"Mesečno.";"Sedmično..";"Godišnje.";"Kvartalno.";"a";"Vazduhoplovni propisi";""
"25";"Pilot imalac PPL dozvole dobivši specijalno VFR odobrenje za ulazak u kontrolnu zonu (CTR), pre ulaska zaključuje da ne može da šalje niti da prima RT poruke, mora da:";"Ostane izvan CTR.";"Produži u CTR putem dodeljenih referentnih vizuelnih tačaka pridržavajući se poslednjeg primljenog odobrenja.";"Dostavi u CTR i čeka svetlosni signal za sletanje.";"Da nastavi u CTR, pridržavajući se poslednjeg primljenog odobrenja i vršeći radio predaju naslepo.";"a";"Vazduhoplovni propisi";""
"26";"Koji SSR squawk bi trebalo postaviti u hitnim slučajevima?";"7700.";"7777.";"7000.";"7600.";"a";"Vazduhoplovni propisi";""
"27";"Ako „marshaller” drži desnu ruku na dole a levu uvek iznova pomera gore i unazad, to znači:";"Skrenite levo.";"Skrenite desno.";"Nastavite da se krećete napred.";"Počnite levim motorom.";"a";"Vazduhoplovni propisi";""
"28";"Šta za vazduhoplov u vazduhu znači stalno zeleno svetlo usmereno sa ATC?";"Odobreno sletanje.";"Vratite se na ovaj aerodrome i očekujte odobrenje za sletanje.";"Sletite odmah.";"Imate prioritet za sletanje.";"a";"Vazduhoplovni propisi";""
"29";"Kojom bojom su označene staze za voženje?";"Žutom.";"Crvenom.";"Zelenom.";"Belom.";"a";"Vazduhoplovni propisi";""
"30";"Kojom bojom se označava poletno – sletna staza?";"Belom.";"Crvenom.";"Zelenom.";"Žutom.";"a";"Vazduhoplovni propisi";""
"31";"Vi ste u finalnom prilazu i vidite stalno crveno svetlo usmereno sa ATC. To znači:";"Ne slećite. Nastavite kruženje.";"Nastavite prilaz i očekujte zeleno svetlo.";"Ne slećite. Aerodrom zatvoren.";"Ne slećite. Preusmerite se na alternativni aerodrome.";"a";"Vazduhoplovni propisi";""
"32";"Koja reč se koristi za izražavanje vertikalne pozicije nekog vazduhoplova, mereno iznad srednjeg nivoa mora, kada se na skali visinomera postavi QNH pritisak?";"Apsolutna visina.";"Elevacija.";"Relativna visina.";"Nivo leta.";"a";"Vazduhoplovni propisi";""
"33";"Koje postupke treba da preduzme pilot ukoliko u toku VFR leta u VMC dođe do otkaza radio veze?";"Nastavlja da leti u VMC, sleće na najbliži pogodni aerodrom i javlja se aerodromu destinacije.";"Nastavlja prema aerodromu destinacije, naslepo vrši radio predaju nastojeći da izbegne letenje u IMC.";"Leti prema najbližem aerodromu, ulazi u nekorišćenu stranu kruga i očekuje stalno zeleno svetlo sa kontrolnog tornja.";"Izvršava procedure za slučaj otkaza radio veze iz vojnog priručnika i očekuje dolazak vazduhoplova koji će ga voditi na sletanje. MK=1460";"a";"Vazduhoplovni propisi";""
"34";"Koji od sledećih nivoa leta bi bio pogodan za letenje nekog vazduhoplova u u skladu sa „kvadrantnim pravilom”?";"FL75.";"FL50.";"FL85.";"FL70.";"a";"Vazduhoplovni propisi";""
"35";"Pilot koji namerava da sleti na civilni aerodrom bi trebao da započne spuštanje ispod prelaznog nivoa sa visinomerom podešenim na:";"QNH aerodroma.";"QFE aerodroma.";"Regionalni QNH.";"1013 milibara.";"a";"Vazduhoplovni propisi";""
"36";"Laki vazduhoplov sleće iza vazduhoplova iz kategorije srednjih ili teških. Koliko vremensko razdvajanja je potreban?";"2 minuta.";"4 minuta.";"3 minuta.";"5 minuta.";"a";"Vazduhoplovni propisi";""
"37";"Koja je definicija za „Prelazni nivo”?";"Najniži raspoloživi nivo leta iznad prelazne apsolutne visine.";"Nivo leta ispod kojeg se vertikalna pozicija vazduhoplova izražava kao „relativna visina”.";"Prelazna apsolutna visina izražena kao „nivo leta”.";"Nivo leta na kojem, ili iznad kojeg, se vertikalna pozicija vazduhoplova izražava kao „apsolutna visina”.";"a";"Vazduhoplovni propisi";""
"38";"Vazduhoplov ima maksimalnu poletnu masu od 136.000kg. Koje kategorije je njegova turbulencije?";"Jaka.";"Srednja.";"Avion sa širokim trupom bi spadao u jaku, a sa užim trupom u srednju kategoriju.";"To zavisi od stvarne a ne od maksimalne poletne mase.";"a";"Vazduhoplovni propisi";""
"39";"Koja reč se koristi za izražavanje vertikalne pozicije nekog vazduhoplova mereno iznad osnovnog nivoa aerodrome, kada je visinomer podešen na QFE?";"Relativna visina.";"Elevacija.";"Apsolutna visina.";"Nivo leta.";"a";"Vazduhoplovni propisi";""
"40";"Zahtevani minimum za pilota sa PPL dozvolom koji leti u skladu sa SVFR je sledeći:";"Minimalna vidljivost u letu 10 km ili veća, izvan oblaka i sa stalnim vizuelnim kontaktom sa površinom zemlje.";"Minimalna vidljivost u letu 10 km ili veća i da je izvan oblaka.";"Minimalna vidljivost u letu 5 km ili veća, izvan oblaka i sa stalnim vizuelnim kontaktom sa površinom zemlje.";"Minimalna vidljivost u letu 10 km ili manja, izvan oblaka i sa stalnim vizuelnim kontaktom sa površinom zemlje.";"a";"Vazduhoplovni propisi";""
"41";"Ko je odgovoran za izdavanje Uverenja o plovidbenosti?";"Vazduhoplovna vlast države u kojoj je izvršena registracija.";"JAA.";"ICAO.";"Operator.";"a";"Vazduhoplovni propisi";""
"42";"Koja od sledećih definicija se obično koristi za „pista u upotrebi” na nekontrolisanom aerodromu?";"Pista u vetar.";"Deo manevarske površine određen za poletanje i sletanje.";"Staza koja najviše odgovara vazduhoplovu koji funkcioniše sa tog aerodrome.";"Deo aerodroma definisan za poletanje i sletanje.";"a";"Vazduhoplovni propisi";""
"43";"Ko ne može da suspenduje VFR letove na aerodromu na bezbednosnoj osnovi?";"Carinski kontrolor.";"Kontrolor prilazne kontrole.";"Lokalni aerodromski kontrolni centar (ACC).";"Odgovarajuća ATS služba.";"a";"Vazduhoplovni propisi";""
"44";"Gde mora da se čuva Uverenje o registraciji dok vazduhoplov leti?";"U vazduhoplovu.";"U sedištu (prostorijama) vlasnika.";"U sedištu (prostorijama) države u kojoj je vazduhoplov registrovan.";"Na mestu polazišta.";"a";"Vazduhoplovni propisi";""
"45";"Nalet koji se priznaje za dozvolu ili ovlašćenje mora da bude ostvaren na:";"Istom tipu ili kategoriji vazduhoplova za koji se dozvola ili ovlašćenje traže.";"Na vazduhoplovu iz grupe istih performansi kao što je onaj za koji se traže dozvola ili ovlašćenje.";"Na vazduhoplovu iz iste ili više grupe performansi kao što je onaj za koji se traže dozvola ili ovlašćenje.";"Na istom tipu vazduhoplova kao što je onaj za koji se traže dozvola ili ovlašćenje.";"a";"Vazduhoplovni propisi";""
"46";"Imalac JAA PPL(A) dozvole koji želi da prevozi putnike mora da ima minimalno po 3 sletanja i poletanja u prethodnih:";"90 dana.";"29 dana.";"31 dan.";"60 dana.";"a";"Vazduhoplovni propisi";""
"47";"Kada imalac pilotske dozvole sazna da mora da se podvrgne operaciji, koje su mu obaveze u pogledu informisanja medicinskih vazduhoplovnih vlasti?";"Trebao bi da bez odlaganja kontaktira medicinske vazduhoplovne vlasti i da od njih traži savet u vezi svoje situacije.";"Ne postoji obaveza da informiše medicinske vazduhoplovne vlasti, pod uslovom da ne leti u ulozi vođe dok se operacija ne obavi.";"Trebao bi da se posavetuje sa medicinskim vazduhoplovnim vlastima o svojoj situaciji samo ako prima opštu anesteziju.";"Nema obavezu da bilo kome šta kaže, jer je to njegova privatna stvar.";"a";"Vazduhoplovni propisi";""
"48";"Na koji period se izdaje JAA PPL(A) dozvola?";"5 godina.";"3 godine.";"10 godina.";"8 godina.";"a";"Vazduhoplovni propisi";""
"49";"Praktični ispit za JAA PPL(A) dozvolu mora da se izvrši u roku od _ od završetka obuke:";"6 meseci.";"Jedne godine.";"4 meseca.";"3 meseca.";"a";"Vazduhoplovni propisi";""
"50";"Zahtev za izdavanje JAA PPL(A) dozvole mora biti podnesen u roku od _ od završenog polaganja teorijskih ispita:";"24 meseca.";"12 meseci.";"36 meseci.";"18 meseci.";"a";"Vazduhoplovni propisi";""
"51";"Pilotska dozvola izdata u državi članici JAA može da se konvertuje u dozvolu bilo koje druge države članice JAA (nove članice), pod uslovom:";"Da imalac dozvole ima stalno prebivalište ili stalno zaposlenje u novoj državi članici.";"Da je imalac dozvole stalno boravio u novoj državi članici najmanje 31 dan.";"Da imalac dozvole namerava da pohađa studije u novoj državi članici u trajanju od najmanje 3 meseca.";"Da nova država članica nema opravdan razlog za odbijanje konvertovanja dozvole.";"a";"Vazduhoplovni propisi";""
"52";"Postoje tri uslova koje imalac JAA PPL(A) dozvole mora da ispuni pre nego što počne da leti u ulozi PIC ili kopilota. Koji od sledećih uslova se ne traži?";"Da ima ovlašćenje za instrumentalno letenje.";"Da ima ovlašćenje za tip ili klasu aviona na kojem će da leti.";"Da ima važeće lekarsko uverenje.";"Da ne leti za naknadu.";"a";"Vazduhoplovni propisi";""
"53";"Ko je odgovoran da obezbedi da se sva odgovarajuća dokumentacija nalazi u vazduhoplovu na međunarodnim letovima?";"Pilot u ulozi PIC.";"Organizacija koja iznajmljuje vazduhoplov.";"Organizacija vazdušnog saobraćaja na koju se plan leta odnosi.";"Supervizor letenja na aerodromu polaska.";"a";"Vazduhoplovni propisi";""
"54";"Imalac PPL dozvole upisuje u svoju letačku knjižicu sledeće, kao vreme polaska i dolaska:";"Vreme kada vazduhoplov započne kretanje sopstvenim pogonom i vreme kada se zaustavi na mestu parkiranja nakon zaustavljanja rada sopstvenog pogona.";"Vreme prvog poletanja i vreme zadnjeg sletanja.";"Vreme od pokretanja motora i vreme zaustavljanja rada motora.";"Vreme kada je vazduhoplov ušao na pistu za prvo poletanje i vreme kada je napustio pistu nakon zadnjeg sletanja.";"a";"Vazduhoplovni propisi";""
"55";"Koliki je period važenja ovlašćenja za instrumentalno letenje?";"12 meseci.";"6 meseci.";"18 meseci.";"Ovlašćenje je važeće pod uslovom da su praktični ispiti završeni u intervalu koji je odredila vazduhoplovna vlast.";"a";"Vazduhoplovni propisi";""
"56";"Ukoliko pilot koji ima lekarsko uverenje izdato u skladu sa JAR-FCL doživi povredu ili bolest koji utiču na njegovu sposobnost da deluje kao član posade vazduhoplova:";"Lekarsko uverenje prestaje da bude važeće.";"Lekarsko uverenje će biti suspendovano 25 dana nakon povrede ili početka bolesti, dok se pilot ponovo ne proglasi sposobnim.";"Lekarsko uverenje će biti suspendovano ako se povreda ili bolest prijave vazduhoplovnim vlastima.";"Lekarsko uverenje će ostati važeće.";"a";"Vazduhoplovni propisi";""
"57";"Prava ovlašćenja za letenje u instrumentalnim meteorološkim uslovima:";"Mogu da se koriste u vazdušnom prostoru suverene države koja je izdala ovlašćenje. Korišćenje tih prava u vazdušnom prostoru drugih država članica JAA podleže prethodnom dogovoru tih država.";"Imalac ovlašćenja može da koristi prava u vazdušnom prostoru širom sveta.";"Mogu da se koriste samo u vazdušnom prostoru države koja je izdala ovlašćenje.";"Mogu da se koriste u vazdušnom prostoru država članica JAA bez prethodnog dogovora.";"a";"Vazduhoplovni propisi";""
"58";"Koje od sledećih ovlašćenja uz JAA PPL(A) ne mora da sadrži odvojeno ovlašćenje za noćno letenje, ukoliko imalac PPL dozvole želi da leti noću?";"Ovlašćenje za instrumentalno letenje.";"Ovlašćenje za letenje u IMC.";"Ovlašćenje instruktora letenja.";"Ovlašćenje instruktora letenja na stažiranju.";"a";"Vazduhoplovni propisi";""
"59";"Kandidat za PPL(A) mora da ima minimalno:";"17 godina.";"15 godina.";"16 godina.";"18 godina.";"a";"Vazduhoplovni propisi";""
"60";"Kada student pilot treba da pribavi lekarsko uverenje?";"Pre svog prvog samostalnog leta.";"Pre otpočinjanja teorijske obuke.";"Pre otpočinjanja letačke obuke u vazduhu.";"Prilikom podnošenja prijave za ispit.";"a";"Vazduhoplovni propisi";""
"61";"Koje medicinsko uverenje se zahteva za imaoca PPL dozvole?";"Medicinsko uverenje Klase 1 ili Klase 2.";"Samo medicinsko uverenje Klase 1.";"Medicinsko uverenje Klase A ili B.";"";"a";"Vazduhoplovni propisi";""
"62";"Koje medicinsko uverenje se zahteva za studenta pilota?";"Medicinsko uverenje Klase 1 ili Klase 2.";"Samo medicinsko uverenje Klase 1.";"Medicinsko uverenje Klase A ili B.";"";"a";"Vazduhoplovni propisi";""
"63";"Koliko naleta u toku obuke na duploj komandi mora da ima kandidat za PPL(A)?";"25 časova.";"10 časova.";"15 časova.";"20 časova.";"a";"Vazduhoplovni propisi";""
"64";"Koliko časova naleta, od ukupno zahtevanih za praktični ispit za izdavanje PPL(A), može da se izvrši na FNPT(Flight & Navigation Procedures Trainer) ili simulatoru leta?";"5.";"7.";"10.";"15.";"a";"Vazduhoplovni propisi";""
"65";"Koliko iznosi minimalna dužina rutnog leta, potrebnog za PPL dozvolu, i koliko sletanja na različite aerodrome sa punim zaustavljanjem bi trebalo da se izvrši u ovom letu?";"150NM; 2 sletanja.";"100NM; 2 sletanja.";"200NM; 3 sletanja.";"250NM; 3 sletanja.";"a";"Vazduhoplovni propisi";""
"66";"Koliko minimalno ukupnog naleta mora da ima kandidat za izdavanje PPL dozvole?";"45 časova.";"50 časova.";"40 časova.";"35 časova.";"a";"Vazduhoplovni propisi";""
"67";"Šta označava izraz „samostalno letenje”?";"Samostalno letenje studenta pilota.";"Ukupno vreme leta u toku kojeg je pilot sam u vazduhoplovu.";"Ukupno vreme leta, u toku kojeg je pilot sam u vazduhoplovu, i 50% od letenja u ulozi kopilota.";"Vreme letenja u ulozi PIC.";"a";"Vazduhoplovni propisi";""
"68";"Da bi kao PIC upravljao avionom koji prevozi putnike, imalac PPL(A) mora da ima najmanje po 3 poletanja i 3 sletanja na avionu iste klase, a ako se zahteva i ovlašćenje za tip, na istom tipu, u prethodnih:";"90 dana.";"12 kalendarskih meseci.";"24 kalendarska meseca.";"";"a";"Vazduhoplovni propisi";""
"69";"Da bi kao PIC prevozio putnike na avionu noću, pilot mora da ima u poslednjih 90 dana po 3 sletanja i poletanja, izvršena u periodu:";"Od kraja civilnog sutona do početka civilnog svitanja.";"Od izlaska do zalaska sunca.";"Jedan sat nakon zalaska sunca do jedan sat pre izlaska sunca.";"";"a";"Vazduhoplovni propisi";""
"70";"Vreme leta je ukupno vreme leta od momenta:";"Početka kretanja vazduhoplova pod sopstvenim ili spoljnim pogonom u cilju poletanja do momenta kada dođe na mesto parkiranja na kraju leta.";"Kada vazduhoplov startuje motore u cilju poletanja ili od prvog kretanja vazduhoplova bez sopstvenog pogona, do momenta zaustavljanja rada motora ili kada vazduhoplov bez pogona dođe na mesto parkiranja na kraju leta.";"Kada kompletna posada bude na vazduhoplovu do momenta kada vazduhoplov dodirne zemlju prilikom sletanja.";"";"a";"Vazduhoplovni propisi";""
"71";"Vreme leta u toku kojeg će instruktor samo nadgledati rad studenta pilota u ulozi PIC i neće uticati ili vršiti upravljanje vazduhoplovom je:";"Vreme leta ka student pilot-in-command (SPIC).";"Samostalno letenje pod nadzorom (PICUS).";"Vreme leta u ulozi PIC.";"Vreme samostalnog letenja.";"a";"Vazduhoplovni propisi";""
"72";"Koji vazduhoplov, i pod kojim uslovima, može da leti imalac PPL(A) dozvole, pod uslovom da je dobijena na propisan način?";"Svaki avion bez izuzetka, pod uslovom da se za te letove ne plaća naknada ili refundacija.";"Svaki avion bez izuzetka, pod uslovom da pilot za takve letove ne dobija naknadu ili refundaciju.";"Svaki jednomotorni avion, pod uslovom da pilot za takve letove ne dobija naknadu ili refundaciju.";"Svaki avion sa maksimalnom poletnom masom do 1500kg, pod uslovom da pilot za takve letove ne prima naknadu ili refundaciju.";"a";"Vazduhoplovni propisi";""
"73";"Koliki minimalni broj časova letenja i koliko poletanja i sletanja se zahteva za produženje važenja ovlašćenja za klasu jednomotornih aviona, kao zamena za proveru stručnosti sa ispitivačem?";"12 sati naleta u toku 12 meseci pre datuma isticanja važenja ovlašćenja, uključujući 6 sati letenja u ulozi PIC i po 12 poletanja i sletanja.";"12 sati naleta u toku 12 meseci pre datuma isticanja važenja ovlašćenja, uključujući 5 sati letenja u ulozi PIC i po 3 poletanja i sletanja.";"10 sati naleta u toku 12 meseci pre datuma isticanja važenja ovlašćenja, uključujući 6 sati letenja u ulozi PIC i po 12 poletanja i sletanja.";"";"a";"Vazduhoplovni propisi";""
"74";"U kojem vremenskom periodu, pre datuma isticanja važenja, može da se sprovede provera stručnosti za produženje važenja ovlašćenja za letenje na jednomotornim avionima?";"3 meseca.";"15 dana.";"1 mesec.";"2 meseca.";"a";"Vazduhoplovni propisi";""
"75";"Da bi mogao da upravlja kao PIC avionom koji prevozi putnike, imalac PPL(A) mora da ima po 3 poletanja i sletanja u prethodnih 90 dana, kao jedini upravljač komandama, na avionu:";"Tipa ili klase.";"Iste izrade i modela.";"Klase, ali ne i tipa.";"";"a";"Vazduhoplovni propisi";""
"76";"Šta od navedenog, u odnosu na letačka ovlašćenja, spada u klasu vazduhoplova?";"Jednomotorni kopno i more, višemotorni kopno i more.";"Avion, helikopter, jedrilica, vazduhoplov lakši od vazduha.";"vazduhoplov lakši od vazduha, balon na topli vazduh, balon na gas.";"";"a";"Vazduhoplovni propisi";""
"77";"Šta od navedenog, u odnosu na letačka ovlašćenja, spada u kategoriju vazduhoplova?";"Avion, helikopter, jedrilica, vazduhoplov lakši od vazduha.";"Žiroplan, helikopter, dirižabl, slobodni balon.";"Jednomotorni kopno i more, višemotorni kopno i more.";"";"a";"Vazduhoplovni propisi";""
"78";"Pilot ili student pilot, kada postane svestan bolničkog prijema više od 12 sati, hirurške operacije ili invazivne procedure, redovne upotrebe lekova, regularne upotrebe korektivnih sočiva:";"Ne mora da leti dok ne zatraži savet od kompetentnog vazduhoplovnog lekara.";"Mora ponovo da prođe ispit iz zdravstvene podobnosti.";"Mora da obavesti nadležnu vazduhoplovnu vlast u roku od 21 dana.";"";"a";"Vazduhoplovni propisi";""
"79";"U kojem od sledećih slučajeva bi lekarsko uverenje bilo suspendovano?";"Svaka bolest koja uključuje nesposobnost funkcionisanja kao člana posade tokom perioda od 21 dana ili više, ili bilo kakve značajne telesne povrede koje uključuju nesposobnost funkcionisanja kao člana posade.";"Svaka hirurška operacija ili invazivna procedura i trudnoća.";"Svaka hirurška operacija ili invazivna procedura.";"";"a";"Vazduhoplovni propisi";""
"80";"Koliko dugo važi ovlašćenje za klasu jednomotornih aviona?";"2 godine.";"6 meseci.";"1 godina.";"3 godine.";"a";"Vazduhoplovni propisi";""
"81";"Maksimalno važenje pilotske dozvole je:";"5 godina.";"2 godine.";"3 godine.";"4 godine.";"a";"Vazduhoplovni propisi";""
"82";"Važnost pilotske dozvole se određuje važnošću:";"Upisanih ovlašćenja i lekarskog uverenja.";"Samo lekarskog uverenja.";"Same dozvole i upisa u dozvolu.";"";"a";"Vazduhoplovni propisi";""
